Sex,Age,Pclass,Survived,Family,Fare,Embarked
Bjornstrom-Steffansson Mr. Mauritz Hakan,male,28,1,1,0,26.55,S
Coleff Mr. Peju,male,36,3,0,0,7.5,S
Laroche Miss. Simonne Marie Anne Andree,female,3,2,1,1,41.58,C
Smith Miss. Marion Elsie,female,40,2,1,0,13,S
Dooley Mr. Patrick,male,32,3,0,0,7.75,Q
Kantor Mr. Sinai,male,34,2,0,1,26,S
Goodwin Miss. Lillian Amy,female,16,3,0,5,46.9,S
Olsen Mr. Karl Siegwart Andreas,male,42,3,0,0,8.4,S
Fleming Miss. Margaret,female,,1,1,0,110.88,C
Gallagher Mr. Martin,male,25,3,0,0,7.74,Q
Panula Master. Juha Niilo,male,7,3,0,4,39.69,S
Pain Dr. Alfred,male,23,2,0,0,10.5,S
Norman Mr. Robert Douglas,male,28,2,0,0,13.5,S
Rood Mr. Hugh Roscoe,male,,1,0,0,50,S
Rouse Mr. Richard Henry,male,50,3,0,0,8.05,S
Johannesen-Bratthammer Mr. Bernt,male,,3,1,0,8.11,S
Chip Mr. Chang,male,32,3,1,0,56.5,S
Bing Mr. Lee,male,32,3,1,0,56.5,S
Kelly Mr. James,male,44,3,0,0,8.05,S
Hoyt Mr. William Fisher,male,,1,0,0,30.7,C
Connors Mr. Patrick,male,70,3,0,0,7.75,Q
Laroche Mr. Joseph Philippe Lemercier,male,25,2,0,1,41.58,C
Foreman Mr. Benjamin Laventall,male,30,1,0,0,27.75,C
Pears Mrs. Thomas (Edith Wearne),female,22,1,1,1,66.6,S
Panula Mrs. Juha (Maria Emilia Ojala),female,41,3,0,0,39.69,S
LeRoy Miss. Bertha,female,30,1,1,0,106.43,C
Troutt Miss. Edwina Celia,female,27,2,1,0,10.5,S
Rice Master. Eric,male,7,3,0,4,29.13,Q
Olsson Miss. Elina,female,31,3,0,0,7.85,S
Gustafsson Mr. Alfred Ossian,male,20,3,0,0,9.85,S
Montvila Rev. Juozas,male,27,2,0,0,13,S
Harris Mr. Walter,male,30,2,0,0,10.5,S
Swift Mrs. Frederick Joel (Margaret Welles Barron),female,48,1,1,0,25.93,S
